name,head_chest,chest_hip,heel-ham,elbow-shoulder,shoulder-tiptoe,ham,heel,shoulder,elbow,tiptoe,evaluation
20181206_General_008_DOC_P_F20_MM_013_0436.jpg,0.5384615384615384,1.136904761904762,45,44,-53,316,361,176,220,229,best
20181206_General_008_DOC_P_F20_MM_013_0437.jpg,0.5841584158415841,1.1046511627906976,45,33,-50,316,361,163,196,213,best
20181206_General_008_DOC_P_F20_MM_013_0438.jpg,0.5333333333333333,1.1162790697674418,44,41,-54,317,361,164,205,218,best
20181206_General_008_DOC_P_F20_MM_013_0492.jpg,0.5238095238095238,1.08,44,23,-56,316,360,160,183,216,best
20181206_General_008_DOC_P_F20_MM_013_0495.jpg,0.5631067961165048,1.1264367816091954,50,9,-53,310,360,161,170,214,best
20181206_General_008_DOC_P_F20_MM_013_0496.jpg,0.5757575757575758,1.0824175824175823,54,-3,-52,306,360,155,152,207,best
20181206_General_008_DOC_P_F20_MM_013_0497.jpg,0.5714285714285714,1.0374331550802138,56,3,-57,304,360,146,149,203,best
20181206_General_008_DOC_P_F20_MM_013_0642.jpg,0.7011494252873564,0.9408866995073892,52,35,-66,309,361,129,164,195,best
20181206_General_008_DOC_P_F20_MM_013_0699.jpg,0.6451612903225806,0.8744186046511628,45,41,-75,315,360,126,167,201,best
20181206_General_008_DOC_P_F20_MM_013_0710.jpg,0.6853932584269663,0.8451327433628318,46,40,-77,314,360,119,159,196,best
20181206_General_008_DOC_P_F20_MM_013_0711.jpg,0.6483516483516484,0.8571428571428571,44,41,-76,314,358,126,167,202,best
20181206_General_008_DOC_P_F20_MM_013_0712.jpg,0.5934065934065934,0.8783783783783784,43,35,-77,311,354,120,155,197,best
20181206_General_008_DOC_P_F20_MM_013_0713.jpg,0.5869565217391305,0.8681818181818182,47,39,-82,309,356,117,156,199,best
20181206_General_008_DOC_P_F20_MM_014_0744.jpg,0.6,0.9603960396039604,27,29,-44,320,347,146,175,190,best
20181206_General_008_DOC_P_F20_MM_014_0769.jpg,0.5353535353535354,0.949748743718593,26,24,-43,321,347,153,177,196,best
20181206_General_008_DOC_P_F20_MM_014_0964.jpg,0.4907407407407407,0.9747474747474748,34,30,-88,317,351,126,156,214,best
20181206_General_008_DOC_P_F20_MM_014_0968.jpg,0.4907407407407407,0.9748743718592964,36,31,-88,316,352,125,156,213,best
20181206_General_008_DOC_P_F20_MM_014_1139.jpg,0.6464646464646465,1.5859375,79,34,-56,280,359,164,198,220,best
20181206_General_008_DOC_P_F20_MM_014_1277.jpg,0.2012578616352201,-19.0,75,35,135,283,358,295,330,160,best
20181206_General_008_DOC_P_F20_MM_014_3275.jpg,0.6129032258064516,0.957345971563981,38,-11,-33,309,347,131,120,164,best
20181206_General_008_DOC_P_F20_MM_015_0463.jpg,1.148148148148148,2.01980198019802,27,24,-35,333,360,237,261,272,best
20181206_General_008_DOC_P_F20_MM_015_0499.jpg,0.6875,1.6742424242424243,36,27,-43,324,360,198,225,241,best
20181206_General_008_DOC_P_F20_MM_015_0500.jpg,0.5849056603773585,1.5033557046979866,39,28,-54,322,361,181,209,235,best
20181206_General_008_DOC_P_F20_MM_015_0957.jpg,0.0823529411764705,5.631578947368421,-14,-32,43,111,97,77,45,34,best
20181206_General_008_DOS_P_F20_MM_001_0102.jpg,0.2,0.7161016949152542,-1,-4,-57,306,305,73,69,130,best
20181206_General_008_DOS_P_F20_MM_001_0135.jpg,0.0641025641025641,0.777292576419214,8,9,-49,315,323,103,112,152,best
20181206_General_008_DOS_P_F20_MM_001_0136.jpg,0.0919540229885057,0.7905982905982906,23,21,-65,312,335,102,123,167,best
20181206_General_008_DOS_P_F20_MM_001_0137.jpg,0.2921348314606741,0.7903930131004366,19,9,-70,313,332,101,110,171,best
20181206_General_008_DOS_P_F20_MM_001_0323.jpg,0.6728971962616822,1.1104294478527608,42,-11,-41,320,362,187,176,228,best
20181206_General_008_DOS_P_F20_MM_001_0324.jpg,0.5982142857142857,1.1847133757961783,35,-33,-26,326,361,197,164,223,best
20181206_General_008_DOS_P_F20_MM_001_0325.jpg,0.6181818181818182,1.15527950310559,38,-50,-29,324,362,191,141,220,best
20181206_General_008_DOS_P_F20_MM_001_0326.jpg,0.6285714285714286,1.169811320754717,41,-53,-33,319,360,186,133,219,best
20181206_General_008_DOS_P_F20_MM_001_0327.jpg,0.6666666666666666,1.2129032258064516,42,-47,-40,319,361,189,142,229,best
20181206_General_008_DOS_P_F20_MM_001_0328.jpg,0.6630434782608695,1.2352941176470589,46,-52,-42,315,361,187,135,229,best
20181206_General_008_DOS_P_F20_MM_001_0490.jpg,0.8352941176470589,1.5040650406504066,69,-20,-84,292,361,167,147,251,best
20181206_General_008_DOS_P_F20_MM_001_0517.jpg,0.8026315789473685,1.464,75,-23,-87,285,360,166,143,253,best
20181206_General_008_DOS_P_F20_MM_001_1796.jpg,0.425531914893617,1.035532994923858,79,36,-122,281,360,95,131,217,best
20181206_General_008_DOS_P_F20_MM_001_1797.jpg,0.4456521739130434,0.985645933014354,71,40,-123,271,342,71,111,194,best
20181206_General_008_DOS_P_F20_MM_001_1903.jpg,0.7075471698113207,0.8697916666666666,-26,29,-17,295,269,115,144,132,best
20181206_General_008_DOS_P_F20_MM_001_1961.jpg,0.6274509803921569,0.9315789473684212,-10,16,-15,280,270,102,118,117,best
20181206_General_008_DOS_P_F20_MM_001_1962.jpg,0.64,0.9086294416243654,-9,17,-18,288,279,103,120,121,best
20181206_General_008_DOS_P_F20_MM_001_1963.jpg,0.6597938144329897,0.9322916666666666,-1,23,-27,272,271,99,122,126,best
20181206_General_008_DOS_P_F20_MM_001_1964.jpg,0.6391752577319587,0.9489795918367347,2,27,-36,276,278,101,128,137,best
20181206_General_008_DOS_P_F20_MM_001_1965.jpg,0.6039603960396039,0.9387755102040816,-3,27,-35,277,274,102,129,137,best
20181206_General_008_DOS_P_F20_MM_001_1966.jpg,0.6039603960396039,0.9390862944162436,-1,26,-38,279,278,101,127,139,best
20181206_General_008_DOS_P_F20_MM_001_1967.jpg,0.594059405940594,0.96875,-1,24,-39,276,275,102,126,141,best
20181206_General_008_DOS_P_F20_MM_001_1968.jpg,0.5882352941176471,0.9489795918367347,1,24,-42,284,285,104,128,146,best
20181206_General_008_DOS_P_F20_MM_001_1969.jpg,0.5825242718446602,0.9689119170984456,0,23,-41,281,281,103,126,144,best
20181206_General_008_DOS_P_F20_MM_001_2774.jpg,0.5858585858585859,0.9107981220657276,43,21,-73,314,357,120,141,193,best
20181206_General_008_DOS_P_F20_MM_001_2785.jpg,0.5673076923076923,1.005181347150259,50,16,-66,311,361,138,154,204,best
20181206_General_008_DOS_P_F20_MM_001_2820.jpg,0.5283018867924528,1.0425531914893618,67,20,-66,294,361,131,151,197,best
20181206_General_008_DOS_P_F20_MM_001_2821.jpg,0.5588235294117647,1.015625,64,25,-76,296,360,125,150,201,best
20181206_General_008_DOS_P_F20_MM_001_2822.jpg,0.5333333333333333,1.0315789473684212,61,20,-72,299,360,129,149,201,best
20181206_General_008_DOS_P_F20_MM_001_2823.jpg,0.5,1.0205128205128204,59,20,-69,301,360,128,148,197,best
20181206_General_008_DOS_P_F20_MM_001_2824.jpg,0.5046728971962616,1.0051546391752575,62,24,-77,298,360,122,146,199,best
20181206_General_008_DOS_P_F20_MM_001_2825.jpg,0.5098039215686274,0.9948453608247424,62,21,-73,298,360,124,145,197,best
20181206_General_008_DOS_P_F20_MM_001_2826.jpg,0.5145631067961165,0.96,58,19,-72,302,360,123,142,195,best
20181206_General_008_DOS_P_F20_MM_001_2827.jpg,0.5047619047619047,0.96,56,17,-73,305,361,124,141,197,best
20181206_General_008_DOS_P_F20_MM_001_2828.jpg,0.5544554455445545,0.9692307692307692,57,17,-73,303,360,123,140,196,best
20181206_General_008_DOS_P_F20_MM_001_2838.jpg,0.5714285714285714,0.965,61,13,-72,300,361,121,134,193,best
20181206_General_008_DOS_P_F20_MM_001_2839.jpg,0.5656565656565656,0.984924623115578,64,12,-74,295,359,117,129,191,best
20181206_General_008_DOS_P_F20_MM_001_3109.jpg,0.6477272727272727,1.1272727272727272,-14,15,11,220,206,85,100,74,best
20181206_General_008_DOS_P_F20_MM_001_3171.jpg,0.574468085106383,1.005181347150259,-29,17,3,242,213,78,95,75,best
20181206_General_008_DOS_P_F20_MM_001_3295.jpg,0.7894736842105263,1.0418848167539267,-3,24,-27,238,235,78,102,105,best
20181206_General_008_DOS_P_F20_MM_001_3372.jpg,0.6705882352941176,0.9701492537313432,4,48,-44,237,241,75,123,119,best
20181206_General_008_DOS_P_F20_MM_002_0129.jpg,0.5567010309278351,1.0444444444444445,47,35,-93,311,358,133,168,226,best
20181206_General_008_DOS_P_F20_MM_002_0130.jpg,0.5454545454545454,0.968421052631579,46,31,-94,312,358,129,160,223,best
20181206_General_008_DOS_P_F20_MM_002_0131.jpg,0.6185567010309279,0.8984771573604061,46,27,-90,312,358,131,158,221,best
20181206_General_008_DOS_P_F20_MM_002_0132.jpg,0.6391752577319587,0.885,43,26,-89,315,358,132,158,221,best
20181206_General_008_DOS_P_F20_MM_002_0612.jpg,0.6565656565656566,1.0777777777777775,8,-13,-1,318,326,171,158,172,best
20181206_General_008_DOS_P_F20_MM_002_0613.jpg,0.6666666666666666,1.0777777777777775,12,-22,-32,321,333,171,149,203,best
20181206_General_008_DOS_P_F20_MM_002_0674.jpg,0.6262626262626263,1.0898876404494382,28,-25,-43,319,347,181,156,224,best
20181206_General_008_DOS_P_F20_MM_002_0675.jpg,0.6082474226804123,1.0898876404494382,33,-27,-33,317,350,181,154,214,best
20181206_General_008_DOS_P_F20_MM_002_0676.jpg,0.6082474226804123,1.095505617977528,35,-37,-51,320,355,176,139,227,best
20181206_General_008_DOS_P_F20_MM_002_1081.jpg,0.5,0.9312169312169312,5,9,-10,305,310,156,165,166,best
20181206_General_008_DOS_P_F20_MM_004_0566.jpg,0.5272727272727272,1.0210526315789474,-9,16,-4,303,294,127,143,131,best
20181206_General_008_DOS_P_F20_MM_004_0572.jpg,0.5858585858585859,1.0494505494505495,5,21,-13,292,297,117,138,130,best
20181206_General_008_DOS_P_F20_MM_004_0621.jpg,0.6,1.022222222222222,15,10,-21,266,281,103,113,124,best
20181206_General_008_DOS_P_F20_MM_004_0622.jpg,0.5858585858585859,0.9435897435897436,18,10,-27,260,278,82,92,109,best
20181206_General_008_DOS_P_F20_MM_004_0623.jpg,0.5742574257425742,0.9735449735449736,19,13,-27,250,269,78,91,105,best
20181206_General_008_DOS_P_F20_MM_004_0761.jpg,0.5,0.9495412844036696,35,14,-62,319,354,115,129,177,best
20181206_General_008_DOS_P_F20_MM_004_0801.jpg,0.5875,0.9066666666666666,41,38,-77,320,361,113,151,190,best
20181206_General_008_DOS_P_F20_MM_004_0802.jpg,0.7647058823529411,0.8198198198198198,37,-7,-66,317,354,118,111,184,best
20181206_General_008_DOS_P_F20_MM_004_0896.jpg,0.6382978723404256,1.0578947368421052,-14,12,-8,281,267,102,114,110,best
20181206_General_008_DOS_P_F20_MM_006_0214.jpg,0.4285714285714285,0.9198113207547168,44,57,-124,316,360,93,150,217,best
20191206_General_004_DOS_P_F20_MM_003_0554.jpg,0.6330275229357798,0.9074074074074074,29,43,-89,320,349,106,149,195,best
20200615_General_005_DOS_P_F20_MM_003_0206.jpg,0.3861386138613861,1.0643564356435644,27,41,-58,308,335,135,176,193,best
20200615_General_005_DOS_P_F20_MM_003_0207.jpg,0.4059405940594059,1.0151515151515151,22,36,-48,307,329,145,181,193,best
20200615_General_005_DOS_P_F20_MM_003_0208.jpg,0.3786407766990291,0.9950248756218906,22,33,-49,306,328,143,176,192,best
20200615_General_005_DOS_P_F20_MM_003_0209.jpg,0.3653846153846153,0.941747572815534,20,31,-47,303,323,136,167,183,best
20200615_General_005_DOS_P_F20_MM_003_0210.jpg,0.38,0.9516908212560388,20,32,-49,303,323,134,166,183,best
20200615_General_005_DOS_P_F20_MM_003_0211.jpg,0.3663366336633663,0.9563106796116504,21,28,-47,303,324,136,164,183,best
20200615_General_005_DOS_P_F20_MM_003_0212.jpg,0.3877551020408163,0.9466019417475728,19,31,-52,303,322,132,163,184,best
20200615_General_005_DOS_P_F20_MM_003_0213.jpg,0.3861386138613861,1.005050505050505,24,32,-53,305,329,134,166,187,best
20200615_General_005_DOS_P_F20_MM_003_0214.jpg,0.392156862745098,0.995,26,31,-52,307,333,137,168,189,best
20200615_General_005_DOS_P_F20_MM_003_0215.jpg,0.3564356435643564,1.005,26,35,-56,303,329,133,168,189,best
20200615_General_005_DOS_P_F20_MM_003_0216.jpg,0.38,0.9850746268656716,23,33,-53,303,326,134,167,187,best
20200615_General_005_DOS_P_F20_MM_003_0217.jpg,0.3673469387755102,0.9851485148514852,26,32,-52,306,332,137,169,189,best
20200615_General_005_DOS_P_F20_MM_003_0218.jpg,0.3762376237623762,0.985,27,32,-52,303,330,136,168,188,best
20200615_General_005_DOS_P_F20_MM_003_0219.jpg,0.38,0.9752475247524752,28,36,-56,308,336,134,170,190,best
20200615_General_005_DOS_P_F20_MM_003_0220.jpg,0.3725490196078431,1.0,28,31,-50,306,334,137,168,187,best
20200615_General_005_DOS_P_F20_MM_003_0221.jpg,0.4117647058823529,0.9850746268656716,28,29,-47,306,334,139,168,186,best
20200615_General_005_DOS_P_F20_MM_003_0222.jpg,0.4081632653061224,0.9609756097560976,28,36,-55,306,334,131,167,186,best
20200615_General_005_DOS_P_F20_MM_003_0223.jpg,0.4242424242424242,0.9900497512437813,28,37,-60,306,334,126,163,186,best
20200615_General_005_DOS_P_F20_MM_003_0224.jpg,0.4329896907216495,0.995049504950495,32,35,-60,305,337,127,162,187,best
20200615_General_005_DOS_P_F20_MM_003_0225.jpg,0.4329896907216495,0.975609756097561,31,37,-62,308,339,127,164,189,best
20200615_General_005_DOS_P_F20_MM_003_0226.jpg,0.4421052631578947,0.9569377990430622,31,42,-66,306,337,122,164,188,best
20200615_General_005_DOS_P_F20_MM_003_0227.jpg,0.4285714285714285,0.9852216748768472,33,40,-65,306,339,126,166,191,best
20200615_General_005_DOS_P_F20_MM_003_0228.jpg,0.4285714285714285,0.9950738916256158,33,40,-64,306,339,127,167,191,best
20200615_General_005_DOS_P_F20_MM_003_0229.jpg,0.4158415841584158,1.005,30,41,-65,309,339,126,167,191,best
20200615_General_005_DOS_P_F20_MM_003_0230.jpg,0.4356435643564356,0.9753694581280788,30,39,-63,306,336,125,164,188,best
